"operatorCode","operatorName","countryName","countryCode","Update"
"GJS","GOJET AIRLINES, LLC. (ST. LOUIS, MO)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"SXS","GUNES EKSPRES HAVACILIK A.S. (SUNEXPRESS)","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"HHN","HAHN AIR-LINES GMBH, LAUTZENHAUSEN","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"HDA","HONG KONG DRAGON AIRLINES (HDA)","China","CHN","""2017-10-18T01:00:02.487Z"""
"HKE","HONG KONG EXPRESS AIRWAYS LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"QXE","HORIZON AIRLINES, INC. (SEATTLE, WA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"KAP","HYANNIS AIR SERVICE, INC. D/B/A CAPE AIR (HYANNIS,MA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"IBE","IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"INC","INSEL AIR INTERNATIONAL N.V.","Netherlands","NLD","""2017-10-18T01:00:02.487Z"""
"IGO","INTERGLOBE AVIATION PRIVATE LTD (T/A INDIGO)","India","IND","""2017-10-18T01:00:02.487Z"""
"IRA","IRAN NATIONAL AIRLINES CORP. (IRAN AIR)","Iran (Islamic Republic of)","IRN","""2017-10-18T01:00:02.487Z"""
"JTA","JAPAN TRANSOCEAN AIR CO., LTD.","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"JAI","JET AIRWAYS, M/S (INDIA) PVT LTD","India","IND","""2017-10-18T01:00:02.487Z"""
"JBU","JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"JSA","JETSTAR ASIA  AIRWAYS PTE LTD","Singapore","SGP","""2017-10-18T01:00:02.487Z"""
"JIA","JETSTREAM INTERNATIONAL AIRLINES (ERIE, PA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"JAV","JORDANIAN ENTERPRISE FOR AIR NAVIGATION AND AVIATION SERVICES (JATE) - JORDAN AVIATION","Jordan","JOR","""2017-10-18T01:00:02.487Z"""
"CKS","KALITTA AIR, LLC (YPSILANTI, MI)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"LAM","LAM - LINHAS AEREAS DE MOCAMBIQUE","Mozambique","MOZ","""2017-10-18T01:00:02.487Z"""
"LAE","LINEA AEREA CARGUERA DE COLOMBIA S.A.","Colombia","COL","""2017-10-18T01:00:02.487Z"""
"LAN","LINEA AEREA NACIONAL DE CHILE (LAN)","Chile","CHL","""2017-10-18T01:00:02.487Z"""
"LRC","LINEAS AEREAS COSTARRICENSES, S.A. (LACSA)","Costa Rica","CRI","""2017-10-18T01:00:02.487Z"""
"LGL","LUXAIR - SOCIETE LUXEMBOURGEOISE  DE NAVIGATION AERIENNE S.A.","Luxembourg","LUX","""2017-10-18T01:00:02.487Z"""
"MAS","MALAYSIAN AIRLINES SYSTEM BERHAD","Malaysia","MYS","""2017-10-18T01:00:02.487Z"""
"MAI","MAURITANIAN AIRLINES INTERNATIONAL","Mauritania","MRT","""2017-10-18T01:00:02.487Z"""
"MEV","MED-VIEW AIRLINES (NIGERIA) LIMITED","Nigeria","NGA","""2017-10-18T01:00:02.487Z"""
"ASH","MESA AVIATION SERVICES, INC. (FARMINGTON, NM)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"MEA","MIDDLE EAST AIRLINES - AIRLIBAN","Lebanon","LBN","""2017-10-18T01:00:02.487Z"""
"SCX","MN AIRLINES, LLC, D/B/A SUN COUNTRY AIRLINES (MENDOTA HEIGHTS, MN)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"MNB","MNG HAVAYOLLARI VE TASIMACILIK A.S.","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"MMA","MYANMAR AIRWAYS INTERNATIONAL CO. LTD","Myanmar","MMR","""2017-10-18T01:00:02.487Z"""
"NCR","NATIONAL AIR CARGO GROUP, INC. (YPSILANTI, MI)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"NAY","NAVEGACION Y SERVICIOS AEREOS CANARIOS, S.A.","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"NCA","NIPPON CARGO AIRLINES CO., LTD.","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"AUL","NORDAVIA-REGIONAL AIRLINES, JSC","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"ONE","OCEANAIR - LINHAS AEREAS LTDA.","Brazil","BRA","""2017-10-18T01:00:02.487Z"""
"OAE","OMNI AIR INTERNATIONAL, INC. (TULSA, OK)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"PIC","PACIFIC AIRLINES HOLDING CO.","Viet Nam","VNM","""2017-10-18T01:00:02.487Z"""
"PIA","PAKISTAN INTERNATIONAL AIRLINES CORPORATION (PIA)","Pakistan","PAK","""2017-10-18T01:00:02.487Z"""
"PTB","PASSAREDO TRANSPORTES AEREOS S.A.","Brazil","BRA","""2017-10-18T01:00:02.487Z"""
"PGT","PEGASUS HAVA TASIMACILIGI A.S. (PEGASUS)","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"PAL","PHILIPPINE AIR LINES INC. (PAL)","Philippines","PHL","""2017-10-18T01:00:02.487Z"""
"PDT","PIEDMONT AIRLINES, INC. D/B/A HENSON AVIATION - USAIR  FLORIDA SHUTTLE - USAIR EXPRESS (SALISBURY, MD)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"FLG","PINNACLE AIRLINES, INC. D/B/A NORTHWEST  AIRLINK (MEMPHIS, TN)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"PAC","POLAR AIR CARGO WORLDWIDE, INC. (WASHINGTON, DC)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"PGA","PORTUGALIA, COMPANHIA PORTUGUESA DE TRANSPORTES  AEREOS S.A.","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"RPA","REPUBLIC AIRLINES, INC. (INDIANAPOLIS, IN)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"CRC","RESERVED FOR CAMEROON AIRLINES CORP ","Cameroon","CMR","""2017-10-18T01:00:02.487Z"""
